feature,min,max
rms_mean,0.005227832912870092,0.05710948778204835
rms_std,0.0034173427825305506,0.02748025049069225
zcr_mean,0.03423696850716242,0.40272008423173433
zcr_std,0.004866499095344513,0.20691709835243732
pitch_mean,119.15920247354327,1076.4156732117813
pitch_std,80.92348298026042,798.2643456938096
chroma_0,0.041966831377639326,0.23558205022359438
chroma_1,0.028389715940678167,0.16891485378613494
chroma_2,0.05766897643103377,0.2682582795784184
chroma_3,0.01762221179802086,0.13336603714032394
chroma_4,0.042251706714487906,0.18904010269117374
chroma_5,0.03719098873344237,0.1906851867977485
chroma_6,0.02933523046697036,0.15326418455750776
chroma_7,0.03371393190969476,0.172151784422352
chroma_8,0.02520594545340182,0.2198628073976292
chroma_9,0.054202493444717344,0.19711782225491692
chroma_10,0.029987286596204695,0.15414063441219733
chroma_11,0.03153099589684941,0.1890823119458161
