file_name,rms_mean,rms_std,zcr_mean,zcr_std,pitch_mean,pitch_std,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
001_GapMeTrongMo.wav,0.3084533739626198,0.386657623374939,0.4488496879628705,0.208320842928924,0.39470647879444765,0.6307806485013858,0.4645905166671213,0.2601967704945852,0.21706788437128188,0.5449155558979987,0.2465709407992406,0.31659048711843174,0.13359296124659445,0.4308806429876348,0.17090222515520753,0.1451412733136871,0.5628378264130336,0.32212826086003693
002_NhatKyCuaMe.wav,0.19179839014943573,0.17700317933598503,0.32843619116044054,0.2381541162739275,0.6149435334428864,0.5126723641511894,0.27470696046979687,0.2657126642730068,0.23259721778533207,0.27583922838431424,0.5251835839164456,0.09451002928423662,0.2481245325250725,0.4637838700438069,0.14398965352062473,0.5853089843664525,0.21234601426785943,0.4754224473139766
003_HuyenThoaiMe.wav,0.31130932627775026,0.23074887895438503,0.5338969181251215,0.2525084827562653,0.40898045522883814,0.5980938806506654,0.21548088351529385,0.43339616503580697,0.16853051304446892,0.5110067639645808,0.4628858426549796,0.10462438100424143,0.3421971593697953,0.18304052552566522,0.22266355442086977,0.37317987951129256,0.3357756815419602,0.5303445509101474
004_MeToi.wav,0.5956225006965455,0.5037698128113773,0.7353319904191274,0.16795083832138272,0.10695430229712245,0.599420489285785,0.16367355313884757,0.40131816821018473,0.22802301596271046,0.5083214615854591,0.4132845628414467,0.10359993989004203,0.47059807516138386,0.16920947752810575,0.25421107455986985,0.31360230129377353,0.32446574466778655,0.5274174846635103
005_MeYeu.wav,0.4206275115405355,0.2843123404674079,0.6046345979852169,0.2357289289796113,0.3412642914583406,0.6843482259688513,0.36118705471150103,0.29867333224456755,0.2810070405863501,0.4283107351122815,0.40639897753169385,0.13369448242268822,0.32829118330965396,0.3990389277307665,0.21288373353584913,0.257378773686735,0.361816891731973,0.32391717378104895
006_MeYeuCon.wav,0.42218876422920826,0.5196066062859668,0.6139437314144139,0.2798974047966813,0.13165623579595112,0.29248531792734916,0.2037362226538161,0.5619787172243346,0.12852638971052638,0.7852783562534803,0.29090152085177945,0.15348010619700453,0.33641447725520385,0.10012239428827026,0.35559750715435784,0.1797788668479434,0.36182994687406306,0.46277724797387076
007_MeToi2.wav,0.32008458009241225,0.30977681202643875,0.5737160055541888,0.23235025596918651,0.583388692703052,0.854440503290243,0.18962363604742896,0.3759793264390193,0.2316629906497294,0.4874055373110936,0.46051378948242977,0.10123330331368266,0.4360151130488449,0.1826426998253208,0.26747865135197785,0.2947849049925237,0.35889075443996377,0.4758798532637746
008_NoiBuonMeToi.wav,0.28984311078538105,0.34072770369277317,0.35161329835031535,0.24825215069288778,0.8158980455228836,0.5363311043842091,0.27432644845649434,0.45451261566625806,0.14861492614347208,0.8648976776484386,0.170289815874157,0.2542808563683821,0.27257177282930706,0.17380206102267115,0.2870582792853634,0.08294225919246188,0.8356017097921914,0.18536388974227486
009_VuLanNhoMe.wav,0.20172492022956107,0.28843508797743495,0.4315129194591151,0.21429053644660961,0.3955193874340058,0.5075007704104995,0.21815673083678325,0.5645396029877509,0.1352667855739359,0.7294428765208767,0.2807442216700596,0.2252231356589237,0.35034933097855137,0.2043019942055434,0.3768033734436088,0.07851442199868063,0.40489584979288956,0.3435675743840108
010_GanhMe.wav,0.22319515120326905,0.5000984125777638,0.28571443275942116,0.46968050915355114,0.5633107234012794,0.44228939389060745,0.11980435502573954,0.7128676119645813,0.07057533117339614,0.3200832727143505,0.47209287317770815,0.11489494169365468,0.6418515484722189,0.10569503063978263,0.38061084698548786,0.2769965002811348,0.22156494788448386,0.465617255751954
011_UocMoCuaMe.wav,0.2988816434227355,0.6655702306647251,0.4292566589021934,0.5474843986277821,0.3982116009929722,0.42088553397230277,0.15991052792062613,0.52392169635252,0.054652865098431515,0.714856430952576,0.37707283219169974,0.13027921834304562,0.45486432254011067,0.18653497793569837,0.3858164590092922,0.14623796587651355,0.39014649287423225,0.44504886794792
012_NgayXuanVuiCuoi.wav,0.5485470460000975,0.6791683393596153,0.44303714080733364,0.27492540319056974,0.739711898185378,0.7492583155731534,0.23100274864371362,0.3114279900276098,0.3102518105146201,0.44254789524586624,0.4782841252116222,0.09368750173306159,0.27148778126371825,0.40971703637427614,0.1773910247403658,0.38217084022293046,0.17932843701396436,0.5047333855431456
